SerialNumber,TransactionID,UserID,TransactionAmount,TransactionType,TransactionTime,TransactionDate,Location,DeviceType,MerchantCategory,CardType,IsForeignTransaction,IsHighRiskCountry,UserTransactionFrequency,AmountBefore,AmountAfter,IsFraud
1368,TXNCA58B0B3A0,USR364322,"$4,582.50",Credit,16:50:50,2024-10-26,Beijing,Unknown,Food,Debit,0,1,6,4133.32,8715.82,1
1369,TXNCC6E87A6D6,USR287819,"$4,181.80",Credit,20:47:09,2024-06-15,London,Unknown,Travel,Credit,0,0,7,2565.59,6747.39,1
1370,TXNBB92E8B942,USR262535,"₹3,64,893.86",Credit,05:11:18,2024-12-12,Dubai,Tablet,Retail,Credit,1,0,5,2082.67,366976.53,1
1371,TXNDDF326CD56,USR196744,"₹1,191.17",Debit,16:57:01,2024-03-18,Beijing,Desktop,Utility,Credit,0,0,4,1265.99,74.8199999999999,0
1372,TXN1C0BFD5A2F,USR852415,"₹7,726.24",Debit,14:28:22,2024-04-28,Tokyo,Mobile,Retail,Debit,0,0,5,863.27,-6862.97,0
1373,TXNF6335179BB,USR260862,"€4,80,952.55",Debit,01:38:55,2025-06-20,Dubai,Unknown,Travel,Debit,0,0,9,3617.51,-477335.04,1
1374,TXN349BCF4E36,USR457280,"€5,134.23",Credit,17:33:41,2024-10-03,New York,Unknown,Food,Credit,1,0,5,9327.36,14461.59,1
1375,TXNE5CCAACB82,USR190046,"€4,666.07",Credit,07:10:48,2023-02-09,Beijing,Unknown,Food,Credit,0,0,4,4053.42,8719.49,1
1376,TXNB90ABFBE81,USR728719,"₹1,158.49",Credit,04:09:20,2025-03-15,Tokyo,Unknown,Food,Debit,0,0,5,1821.45,2979.94,1
1377,TXNEECBA7ED8E,USR393834,"$5,383.27",Debit,10:40:22,2023-12-19,Lagos,Desktop,Luxury,Credit,0,0,9,3871.09,-1512.18,0
1378,TXN1F92365E8C,USR215039,"₹6,769.95",Credit,06:57:42,2024-05-11,New York,Mobile,Food,Credit,0,0,4,9712.36,16482.31,0
1379,TXN56CA37E4DE,USR118910,"₹3,406.38",Debit,08:05:42,2024-10-20,Dubai,Tablet,Luxury,Credit,0,0,9,6695.32,3288.94,0
1380,TXN0D64351683,USR208570,"$8,962.59",Debit,07:07:01,2023-03-15,London,Desktop,Food,Debit,0,0,7,7384.3,-1578.29,0
1381,TXN6444DB2BE2,USR555819,€189.25,Credit,22:20:20,2025-03-20,Beijing,Tablet,Food,Credit,0,1,9,5610.78,5800.03,1
1382,TXNFF5378A89B,USR949130,"€3,770.82",Debit,05:13:27,2025-07-02,Dubai,Mobile,Travel,Prepaid,0,0,5,5934.12,2163.3,0
1383,TXN159F852E00,USR551319,"€1,854.38",Debit,14:08:01,2024-12-17,Tokyo,Desktop,Retail,Credit,0,0,8,7345.48,5491.1,0
1384,TXN8C5D004827,USR468581,$611.88,Debit,04:34:11,2024-10-01,Delhi,Mobile,Food,Prepaid,0,0,14,3807.33,3195.45,1
1385,TXN154F54E315,USR652640,"$8,236.64",Debit,18:05:03,2025-03-20,Dubai,Tablet,Retail,Prepaid,0,0,4,4021.98,-4214.66,0
1386,TXN58769D130A,USR412558,₹270.34,Credit,04:02:16,2024-05-30,London,Mobile,Utility,Prepaid,0,0,11,3107.66,3378.0,1
1387,TXNDB98CC6EDF,USR374339,₹537.30,Debit,01:18:14,2023-11-27,Tokyo,Desktop,Retail,Debit,1,0,4,6960.97,6423.67,1
1388,TXN01F73B6C43,USR752780,"$3,92,617.88",Debit,07:23:11,2024-07-13,Dubai,Unknown,Luxury,Credit,0,0,6,1524.85,-391093.03,1
1389,TXNCF24A03777,USR463203,"€5,852.90",Debit,05:13:48,2023-09-12,Delhi,Mobile,Travel,Debit,0,0,8,5248.53,-604.37,0
1390,TXNCD0ED360AF,USR659562,"€1,806.06",Credit,17:11:52,2025-01-18,Lagos,Unknown,Retail,Debit,0,0,9,5082.8,6888.86,1
1391,TXNE75F412CF2,USR705540,"€3,14,072.54",Credit,08:53:30,2025-02-11,London,Mobile,Retail,Debit,1,0,5,5768.26,319840.8,1
1392,TXNA84C49E543,USR598016,"₹4,60,641.18",Debit,09:06:23,2023-08-11,Lagos,Mobile,Luxury,Credit,0,0,3,9886.24,-450754.94,1
1393,TXN2C346F6232,USR302325,"₹6,481.75",Debit,14:43:02,2024-09-28,Delhi,Desktop,Utility,Prepaid,0,1,6,3641.57,-2840.18,1
1394,TXNCDC578068E,USR455987,"$3,685.13",Debit,20:01:38,2024-08-29,Tokyo,Desktop,Retail,Prepaid,0,0,11,831.24,-2853.89,1
1395,TXNB9918B492D,USR954486,"€2,730.13",Credit,04:16:10,2025-03-01,Tokyo,Unknown,Luxury,Debit,1,0,9,722.92,3453.05,1
1396,TXNA8E252645C,USR417669,"$5,279.75",Debit,19:33:27,2023-02-11,London,Desktop,Utility,Prepaid,0,0,5,8510.96,3231.21,0
1397,TXNEE64E77BB6,USR756757,"₹7,565.15",Debit,03:17:02,2025-01-30,Lagos,Mobile,Food,Debit,0,1,9,5051.59,-2513.56,1
1398,TXN7BE57FB944,USR292139,"€2,205.00",Credit,23:30:58,2023-03-28,London,Desktop,Retail,Prepaid,0,0,11,8361.91,10566.91,1
1399,TXNBDD498D2BA,USR153187,"₹4,196.52",Debit,14:02:52,2023-01-29,Lagos,Unknown,Food,Prepaid,1,0,6,1294.07,-2902.45,1
1400,TXN3D46E68C2A,USR369870,"$2,508.94",Credit,12:12:40,2025-06-18,Delhi,Tablet,Luxury,Prepaid,1,0,5,5621.97,8130.91,1
1401,TXN09CB46C88D,USR824045,"$4,26,692.66",Debit,13:22:01,2025-01-13,Lagos,Tablet,Utility,Prepaid,0,0,10,6760.45,-419932.21,1
1402,TXN34BA0F5135,USR129189,"₹3,342.06",Debit,08:09:49,2024-08-13,London,Mobile,Food,Credit,0,0,7,6249.16,2907.1,0
1403,TXN7252D5476A,USR657478,"$3,24,964.71",Credit,03:07:15,2024-05-31,New York,Desktop,Utility,Debit,0,1,8,3786.31,328751.02,1
1404,TXNA5A9083E53,USR636208,"$4,61,595.98",Debit,09:46:01,2025-01-27,New York,Mobile,Luxury,Prepaid,1,0,5,5555.28,-456040.7,1
1405,TXN3B1ECBE09F,USR831077,"₹4,387.42",Debit,01:41:38,2024-03-31,Tokyo,Tablet,Food,Prepaid,0,0,4,2817.67,-1569.75,0
1406,TXN0F783B8AAC,USR804706,"₹3,017.00",Debit,22:33:30,2024-11-13,New York,Unknown,Luxury,Credit,0,0,3,8523.27,5506.27,1
1407,TXNDC5C2884BA,USR866975,"$7,184.69",Credit,11:54:45,2025-02-16,Tokyo,Unknown,Travel,Prepaid,0,0,6,8012.74,15197.43,1
1408,TXN117D18E7DC,USR674845,"€2,594.64",Debit,07:51:47,2023-11-15,Dubai,Tablet,Travel,Debit,0,0,9,8565.26,5970.62,0
1409,TXNE6187C0CAF,USR911249,"₹8,871.33",Debit,04:06:24,2024-09-17,London,Tablet,Food,Prepaid,0,0,10,2489.92,-6381.41,0
1410,TXNFEDE529250,USR935985,€420.81,Debit,18:29:32,2024-10-16,Delhi,Desktop,Travel,Debit,0,0,3,3573.86,3153.05,0
1411,TXN1F95EB96DC,USR936908,"€3,379.08",Debit,00:50:03,2023-04-09,London,Desktop,Luxury,Prepaid,0,0,9,1209.63,-2169.45,0
1412,TXN7A091572A4,USR936034,"$6,590.34",Debit,16:23:46,2024-05-16,Dubai,Desktop,Travel,Debit,0,0,5,1529.9,-5060.44,0
1413,TXN23CB5F535C,USR386387,"₹4,02,684.66",Debit,01:26:50,2024-12-11,Beijing,Unknown,Food,Debit,0,0,7,1113.57,-401571.09,1
1414,TXN7AD8FEE848,USR383547,"₹8,373.47",Credit,09:43:26,2023-11-24,Lagos,Desktop,Utility,Prepaid,1,1,7,659.44,9032.91,1
1415,TXN2C3371965C,USR852153,"$9,670.77",Debit,18:37:39,2023-05-10,New York,Mobile,Utility,Prepaid,0,0,3,9690.45,19.6800000000003,0
1416,TXN01891C9F29,USR839896,"€7,788.62",Credit,13:01:12,2023-12-10,London,Mobile,Retail,Debit,0,0,10,3041.58,10830.2,0
1417,TXN81A881ABB0,USR883280,"€2,88,846.29",Credit,15:20:36,2024-05-21,Beijing,Mobile,Food,Prepaid,0,0,3,8713.65,297559.94,1
1418,TXN675D93A66A,USR434886,"₹5,984.34",Debit,11:18:19,2024-01-06,Lagos,Tablet,Utility,Debit,0,0,13,5014.21,-970.13,1
1419,TXN99F6FCEFE5,USR825063,"€4,71,381.69",Debit,16:59:44,2025-04-11,New York,Unknown,Luxury,Credit,0,0,9,9866.92,-461514.77,1
1420,TXNC0D2A38D9C,USR606015,"$6,059.92",Credit,05:07:46,2023-05-10,Dubai,Unknown,Retail,Prepaid,0,0,5,1768.67,7828.59,1
1421,TXN91E6BF126D,USR645271,"€6,347.32",Credit,21:45:12,2023-09-18,Lagos,Desktop,Utility,Debit,0,0,9,8832.73,15180.05,0
1422,TXN3E8E6D1297,USR545575,"$9,629.84",Debit,11:02:14,2023-01-23,Lagos,Unknown,Retail,Credit,0,0,10,2134.43,-7495.41,1
1423,TXN83408BF6CA,USR667974,"€8,202.08",Credit,14:24:10,2024-01-02,Lagos,Unknown,Food,Debit,0,0,6,557.04,8759.12,1
1424,TXND50778DD68,USR351526,"$7,291.78",Credit,14:59:21,2024-07-24,Tokyo,Mobile,Retail,Credit,0,0,9,2977.1,10268.88,0
1425,TXN3F74D0EB7E,USR879346,€97.75,Credit,18:48:00,2025-02-07,Dubai,Desktop,Utility,Debit,0,0,11,2831.11,2928.86,1
1426,TXNB733FEF0F2,USR295615,"$1,625.22",Debit,20:34:32,2023-10-28,New York,Desktop,Travel,Debit,1,0,9,9059.17,7433.95,1
1427,TXN90751FA810,USR959742,"$7,422.44",Credit,10:59:38,2024-08-10,Lagos,Mobile,Food,Debit,0,0,4,9868.53,17290.97,0
1428,TXNC7DC4126A7,USR284222,"$9,575.94",Credit,12:15:06,2023-11-07,Lagos,Mobile,Luxury,Prepaid,0,0,2,3042.19,12618.13,0
1429,TXN70032646FC,USR184298,"€1,73,505.75",Debit,07:09:28,2023-06-25,New York,Desktop,Travel,Credit,1,0,10,6896.17,-166609.58,1
1430,TXN95CA2642E9,USR594934,"₹7,392.55",Credit,02:55:35,2023-09-11,Delhi,Unknown,Food,Debit,0,0,8,8409.52,15802.07,1
1431,TXN6519016158,USR290499,"₹9,855.34",Credit,03:35:03,2024-04-20,London,Unknown,Travel,Prepaid,0,0,6,2661.33,12516.67,1
1432,TXN7A942A8413,USR187310,"€1,047.95",Debit,00:10:00,2025-01-25,Delhi,Tablet,Food,Credit,1,0,9,3492.1,2444.15,1
1433,TXN8385706AEB,USR391622,"$3,726.33",Debit,08:55:01,2024-04-19,Tokyo,Desktop,Travel,Debit,0,0,9,504.48,-3221.85,0
1434,TXN1A728541B2,USR302463,"$5,235.23",Debit,22:36:10,2023-04-27,Tokyo,Unknown,Food,Credit,1,0,4,6099.61,864.38,1
1435,TXN5E78B8E178,USR297700,"₹5,851.19",Debit,21:22:14,2023-10-05,Tokyo,Desktop,Retail,Debit,0,0,10,3969.6,-1881.59,0
1436,TXN066D346A3E,USR744546,"€5,094.33",Debit,15:45:35,2024-09-23,Dubai,Tablet,Retail,Credit,0,0,6,9416.13,4321.8,0
1437,TXN7AD51A5B4B,USR190870,"$6,483.87",Debit,00:43:11,2025-07-22,Tokyo,Unknown,Travel,Credit,1,0,9,3246.49,-3237.38,1
1438,TXN3AE11EBFF8,USR784252,"₹3,140.44",Credit,00:28:39,2024-05-18,Delhi,Unknown,Utility,Prepaid,0,0,5,2371.18,5511.62,1
1439,TXN5EBF640324,USR398371,"$2,90,452.93",Debit,06:40:39,2023-02-24,London,Unknown,Luxury,Prepaid,1,0,9,5415.63,-285037.3,1
1440,TXNE950C42B0B,USR861282,"₹6,070.91",Debit,03:23:48,2025-03-01,Delhi,Mobile,Food,Debit,0,0,4,2599.65,-3471.26,0
1441,TXNCC94383215,USR532431,"$2,02,817.80",Debit,13:16:41,2025-07-22,Beijing,Unknown,Food,Prepaid,1,0,6,1244.98,-201572.82,1
1442,TXND9EB6F9C53,USR286928,"$1,09,425.88",Credit,04:23:10,2023-12-31,New York,Desktop,Travel,Prepaid,0,0,9,548.89,109974.77,1
1443,TXN871ED58879,USR514325,$371.82,Debit,06:14:10,2023-03-18,Delhi,Tablet,Travel,Debit,1,0,8,2365.45,1993.63,1
1444,TXN1C74FE236E,USR123813,₹994.15,Debit,04:18:47,2024-06-19,Tokyo,Tablet,Luxury,Credit,0,0,8,8680.74,7686.59,0
1445,TXN361855EEEF,USR333661,"€6,006.26",Credit,20:53:14,2023-12-23,Delhi,Unknown,Utility,Credit,0,0,5,3952.67,9958.93,1
1446,TXNCA9533C093,USR714949,"€1,548.27",Debit,22:56:44,2024-07-24,Dubai,Mobile,Retail,Prepaid,0,0,4,9980.28,8432.01,0
1447,TXN1D22EC3171,USR905239,"₹3,584.02",Debit,00:24:35,2023-03-14,Lagos,Mobile,Luxury,Credit,0,0,11,7253.53,3669.51,1
1448,TXN1EB71EC4FD,USR229134,"€5,275.42",Debit,22:55:09,2025-06-11,London,Tablet,Retail,Credit,0,0,7,3100.28,-2175.14,0
1449,TXN118EC90276,USR842406,"₹7,487.94",Debit,06:00:58,2025-04-28,Lagos,Tablet,Utility,Credit,0,0,9,1090.65,-6397.29,0
1450,TXNA01E42D585,USR165962,$113.88,Debit,21:48:05,2024-08-23,New York,Mobile,Food,Debit,0,0,9,1803.13,1689.25,0
1451,TXNF44A7AEB73,USR803445,"₹2,70,720.03",Debit,22:44:27,2024-11-15,Beijing,Unknown,Retail,Debit,0,0,7,1705.09,-269014.94,1
1452,TXN7F121DBAB3,USR350925,"$6,285.82",Debit,01:58:42,2025-01-21,Delhi,Tablet,Utility,Prepaid,0,0,7,3825.7,-2460.12,0
1453,TXN14EB04B088,USR807903,"$8,343.79",Debit,17:34:12,2023-03-21,Tokyo,Tablet,Food,Debit,0,0,6,6344.26,-1999.53,0
1454,TXN176517C823,USR426218,"₹3,66,661.23",Debit,07:48:53,2024-07-27,Dubai,Unknown,Retail,Debit,0,0,7,9559.68,-357101.55,1
1455,TXN6CA8F23357,USR637887,"€4,398.71",Debit,18:08:04,2025-01-19,Beijing,Tablet,Luxury,Prepaid,0,0,9,7567.5,3168.79,0
1456,TXN1D9D58BA46,USR102261,"$5,249.15",Credit,14:40:36,2024-07-30,Beijing,Tablet,Travel,Credit,1,0,9,4871.55,10120.7,1
1457,TXN2DF21668EA,USR298365,"€1,92,960.65",Debit,08:36:53,2025-05-21,Delhi,Mobile,Luxury,Prepaid,0,0,6,3439.77,-189520.88,1
1458,TXNF32B7A91DB,USR134867,"$2,359.42",Debit,20:52:03,2024-12-09,Lagos,Unknown,Travel,Credit,0,0,4,2037.07,-322.35,1
1459,TXN84C0AE7852,USR304447,"$2,01,851.69",Debit,17:23:32,2024-06-07,Dubai,Unknown,Utility,Credit,1,0,9,3682.35,-198169.34,1
1460,TXN49072F027E,USR890607,"$3,88,883.34",Debit,16:40:50,2023-06-01,New York,Tablet,Luxury,Prepaid,0,0,5,6096.56,-382786.78,1
1461,TXNA26BF125B9,USR628260,"₹4,43,017.33",Credit,04:31:05,2023-03-21,Tokyo,Mobile,Food,Prepaid,0,0,5,1718.07,444735.4,1
1462,TXNE4093A8389,USR941343,"$7,016.29",Credit,17:39:31,2023-09-28,Dubai,Unknown,Luxury,Prepaid,0,0,13,3574.2,10590.49,1
1463,TXN52D1131642,USR809154,"€5,587.37",Credit,21:46:27,2023-11-15,Dubai,Unknown,Utility,Prepaid,0,1,1,4583.0,10170.37,1
1464,TXNAB95AE43E8,USR658706,"$6,627.76",Debit,03:03:54,2024-03-25,Tokyo,Unknown,Utility,Prepaid,0,0,5,9705.9,3078.14,1
1465,TXN69F767DB2F,USR901578,"$3,857.71",Credit,11:11:27,2024-11-07,New York,Desktop,Luxury,Debit,0,0,13,8780.58,12638.29,1
1466,TXNF553A659E4,USR298231,"$1,639.03",Debit,08:43:16,2025-07-11,London,Desktop,Travel,Prepaid,1,1,8,4961.87,3322.84,1
1467,TXN68C7755E57,USR712656,"₹9,627.18",Debit,11:41:35,2023-05-08,Beijing,Desktop,Food,Prepaid,1,1,6,366.8,-9260.38,1
1468,TXND2CA146625,USR901407,"€5,742.06",Credit,08:14:20,2023-04-02,New York,Desktop,Utility,Prepaid,0,0,6,8939.9,14681.96,0
1469,TXND874C8703B,USR100217,"€9,976.44",Debit,03:44:44,2024-05-27,Lagos,Desktop,Retail,Credit,1,1,12,6948.46,-3027.98,1
1470,TXN2F4E177027,USR121914,"€6,314.36",Credit,13:40:22,2024-10-18,London,Unknown,Retail,Debit,0,0,5,2263.12,8577.48,1
1471,TXNFDB216B7EB,USR978899,$672.48,Credit,12:31:16,2023-09-28,Delhi,Desktop,Utility,Credit,0,0,8,5878.83,6551.31,0
1472,TXN8766C6CE8A,USR942515,"₹4,282.13",Credit,20:05:34,2024-11-28,New York,Unknown,Luxury,Debit,0,0,9,5499.97,9782.1,1
1473,TXN44320A7C5E,USR717881,€352.69,Debit,15:06:50,2024-06-12,Tokyo,Desktop,Luxury,Prepaid,0,0,7,202.54,-150.15,0
1474,TXNAAC22146E6,USR919077,"€4,00,184.18",Credit,15:47:15,2023-11-21,Lagos,Tablet,Luxury,Prepaid,0,0,7,5719.93,405904.11,1
1475,TXND546D482DF,USR673044,"₹4,664.05",Debit,18:18:57,2023-11-01,London,Tablet,Travel,Prepaid,0,0,9,6116.92,1452.87,0
1476,TXNF9AA737C8F,USR627697,$747.94,Debit,13:40:26,2023-02-18,Beijing,Desktop,Retail,Prepaid,0,0,11,489.3,-258.64,1
1477,TXNBE1C06B26F,USR541033,"₹5,894.95",Debit,22:27:28,2025-03-19,Beijing,Desktop,Luxury,Debit,0,0,9,1870.81,-4024.14,0
1478,TXN458D787520,USR661598,"₹9,668.83",Debit,17:20:08,2025-02-03,Beijing,Desktop,Luxury,Debit,0,0,8,8840.11,-828.719999999999,0
1479,TXNC955DCE62F,USR772731,"₹5,053.23",Credit,10:51:56,2024-06-29,Beijing,Mobile,Travel,Prepaid,0,0,2,804.58,5857.81,0
1480,TXN563D69548D,USR142729,"₹3,315.04",Credit,21:05:59,2023-09-19,Tokyo,Tablet,Travel,Credit,0,0,7,9686.04,13001.08,0
1481,TXN7C9398B37C,USR411414,"₹5,942.72",Debit,01:30:39,2025-05-29,New York,Desktop,Utility,Prepaid,0,0,8,2720.51,-3222.21,0
1482,TXN32A734ED40,USR536670,€248.54,Debit,19:56:41,2023-07-11,London,Mobile,Retail,Prepaid,0,0,6,9677.45,9428.91,0
1483,TXNDD5377C199,USR382291,"₹4,39,477.98",Credit,14:36:06,2024-07-29,Tokyo,Mobile,Utility,Debit,0,0,6,4919.1,444397.08,1
1484,TXN7156CD1D4E,USR496447,€963.69,Credit,15:10:00,2024-09-06,Dubai,Desktop,Utility,Credit,0,0,8,982.76,1946.45,0
1485,TXN66C799CAE7,USR182402,"€2,856.53",Credit,09:29:35,2023-01-20,New York,Desktop,Utility,Debit,0,0,8,4169.41,7025.94,0
1486,TXN6AC125A2CC,USR988293,"€4,300.23",Credit,04:41:24,2025-08-04,Lagos,Desktop,Retail,Debit,0,0,3,5863.86,10164.09,0
1487,TXN8520066FE7,USR951699,"€8,483.32",Debit,19:42:31,2023-03-10,New York,Desktop,Luxury,Debit,0,0,6,3306.83,-5176.49,0
1488,TXN8670EE0BC5,USR699997,"₹1,60,299.53",Credit,05:10:22,2024-01-11,London,Unknown,Retail,Credit,0,1,6,4769.54,165069.07,1
1489,TXNC4045FC1B4,USR599894,"€6,317.20",Debit,06:52:21,2024-05-10,Beijing,Desktop,Food,Prepaid,0,0,10,8113.22,1796.02,0
1490,TXN46401CB978,USR474275,₹960.39,Debit,20:14:06,2023-07-22,New York,Desktop,Retail,Prepaid,0,0,5,6780.83,5820.44,0
1491,TXNF567BFA5C2,USR958535,"€7,985.15",Credit,01:04:43,2023-05-13,Lagos,Unknown,Luxury,Debit,1,0,4,8226.52,16211.67,1
1492,TXNB9A9610BFF,USR546571,"€7,881.11",Debit,07:10:30,2023-06-21,London,Tablet,Food,Credit,0,0,7,6268.65,-1612.46,0
1493,TXNAE42ABA952,USR164901,"€1,086.91",Debit,11:00:37,2025-07-20,Tokyo,Mobile,Travel,Prepaid,0,0,10,9544.51,8457.6,0
1494,TXNBB7E709C34,USR346215,₹769.31,Credit,08:06:30,2025-05-29,Tokyo,Mobile,Luxury,Credit,1,0,8,9765.46,10534.77,1
1495,TXN8A6307AAAE,USR212725,"₹5,960.38",Debit,02:17:09,2025-08-03,Beijing,Desktop,Utility,Credit,1,0,9,1210.73,-4749.65,1
1496,TXN6F9031B983,USR183442,"$8,183.50",Debit,12:26:17,2024-01-16,Lagos,Tablet,Utility,Debit,1,0,6,4813.87,-3369.63,1
1497,TXNF5A1CEA7D5,USR232344,"₹1,660.90",Debit,07:36:13,2023-06-29,Lagos,Tablet,Travel,Debit,0,0,10,1863.32,202.42,0
1498,TXN2E9AA0A8E1,USR258207,"€3,338.22",Debit,19:26:17,2024-01-08,London,Mobile,Utility,Debit,0,1,7,9424.06,6085.84,1
1499,TXN5E563E9C6B,USR116362,€94.84,Debit,00:54:32,2023-11-09,Dubai,Unknown,Luxury,Debit,0,0,2,5805.7,5710.86,1
1500,TXNAE9E35949D,USR335453,"$3,390.62",Debit,06:08:37,2023-05-19,Dubai,Unknown,Travel,Prepaid,0,0,2,3776.25,385.63,1
1501,TXNCA336FD5DF,USR388354,"$1,867.35",Credit,13:14:37,2025-02-14,Delhi,Unknown,Utility,Prepaid,0,0,9,3188.52,5055.87,1
1502,TXN6A21A30C52,USR742801,"$1,70,147.23",Debit,14:59:37,2025-04-30,Lagos,Mobile,Utility,Prepaid,0,0,11,7967.98,-162179.25,1
1503,TXN6CE3BAA54D,USR258272,"₹6,876.66",Debit,04:24:07,2023-03-14,Beijing,Tablet,Retail,Debit,0,0,4,7697.65,820.99,0
1504,TXN72C5D2915B,USR388514,"$9,316.02",Debit,06:11:05,2024-08-04,Lagos,Unknown,Utility,Debit,0,1,2,6536.35,-2779.67,1
1505,TXN75FB2069C8,USR885513,$854.99,Credit,15:36:14,2025-01-14,Delhi,Desktop,Utility,Prepaid,0,0,5,8198.28,9053.27,0
1506,TXN6596D28969,USR928081,"€1,209.56",Credit,21:58:47,2024-08-30,Beijing,Desktop,Travel,Debit,1,0,13,5446.55,6656.11,1
1507,TXN20AE6E1715,USR279449,"₹8,610.30",Credit,09:26:01,2023-11-19,London,Desktop,Food,Prepaid,1,0,6,9783.68,18393.98,1
1508,TXN9B3F6DF58E,USR791192,"$9,721.21",Debit,11:48:49,2023-12-27,Delhi,Tablet,Luxury,Debit,0,0,4,3335.46,-6385.75,0
1509,TXN2C05B05EA5,USR512003,"₹7,839.73",Debit,06:41:59,2024-02-01,Tokyo,Tablet,Food,Debit,0,0,6,9320.12,1480.39,0
1510,TXNC94C07CCDB,USR980162,€676.42,Credit,19:25:10,2024-08-06,Beijing,Desktop,Travel,Prepaid,0,0,7,5755.15,6431.57,0
1511,TXN40FAA9D721,USR287308,"₹7,371.95",Credit,15:13:10,2023-08-12,London,Desktop,Utility,Credit,0,0,3,5272.25,12644.2,0
1512,TXN1E0612AAFD,USR240012,"€8,063.87",Debit,19:49:26,2024-09-23,New York,Mobile,Utility,Debit,0,0,11,1887.82,-6176.05,1
1513,TXN6F31881434,USR119684,"€8,307.08",Credit,19:09:36,2023-03-07,Dubai,Tablet,Food,Credit,1,0,5,1208.94,9516.02,1
1514,TXN4B058FC578,USR833043,"₹6,918.58",Credit,03:00:44,2025-06-25,Beijing,Unknown,Travel,Prepaid,0,0,4,2287.42,9206.0,1
1515,TXN3989811EE3,USR223866,$637.73,Credit,22:39:26,2024-01-22,Delhi,Mobile,Food,Prepaid,0,1,7,2580.91,3218.64,1
1516,TXN15899069B4,USR846525,"$2,05,789.78",Credit,07:43:21,2023-01-17,New York,Tablet,Utility,Prepaid,0,0,7,1484.85,207274.63,1
1517,TXN5A88091DF5,USR557886,"€8,905.22",Credit,16:37:45,2023-07-13,Dubai,Unknown,Travel,Prepaid,0,0,6,8356.36,17261.58,1
1518,TXN15301D7022,USR403317,€805.00,Credit,05:12:30,2023-02-17,Delhi,Mobile,Food,Prepaid,0,0,5,5984.02,6789.02,0
1519,TXNC3BF94A7A3,USR328353,"$6,782.88",Credit,08:49:40,2024-08-22,Tokyo,Unknown,Travel,Credit,0,0,10,792.11,7574.99,1
1520,TXNAA38F97BC2,USR231776,"₹8,762.40",Debit,09:45:14,2025-05-20,Delhi,Tablet,Retail,Prepaid,0,0,7,9087.68,325.280000000001,0
1521,TXNB8C27D8172,USR939032,"$5,186.87",Debit,13:59:58,2023-11-16,Dubai,Tablet,Utility,Debit,0,0,9,8231.26,3044.39,0
1522,TXNC4D0459DAE,USR551030,₹933.21,Debit,08:07:28,2023-03-11,Beijing,Desktop,Retail,Credit,0,1,10,5382.33,4449.12,1
1523,TXN87912BD07F,USR712872,"$3,625.96",Debit,19:10:15,2025-02-22,New York,Mobile,Luxury,Credit,0,1,8,5148.69,1522.73,1
1524,TXN2F8FD1C7EB,USR691478,$85.32,Debit,14:02:35,2025-06-28,Beijing,Desktop,Food,Prepaid,0,0,7,267.35,182.03,0
1525,TXNA3C2E0B81B,USR510349,"€3,50,677.62",Debit,05:32:06,2023-02-24,Tokyo,Desktop,Food,Debit,0,0,6,743.52,-349934.1,1
1526,TXN87D672D8D4,USR795437,$768.49,Debit,22:10:54,2024-12-31,Lagos,Tablet,Luxury,Prepaid,0,0,6,4647.94,3879.45,0
1527,TXN8467BD6F20,USR587044,"€9,182.97",Debit,17:33:17,2025-01-25,Lagos,Unknown,Luxury,Debit,0,0,8,4532.45,-4650.52,1
1528,TXN48A2543946,USR125612,"€3,494.85",Credit,07:46:36,2025-06-21,Lagos,Unknown,Travel,Debit,0,0,13,7950.81,11445.66,1
1529,TXNFE2D88F005,USR403151,"₹3,23,935.46",Debit,16:11:06,2024-04-08,Tokyo,Mobile,Food,Debit,1,0,8,4942.95,-318992.51,1
1530,TXNF76E759379,USR808871,"$5,747.25",Credit,20:26:48,2025-07-13,Tokyo,Mobile,Food,Prepaid,0,0,6,5641.21,11388.46,0
1531,TXNBCC6C84188,USR504442,"₹1,236.84",Debit,04:30:51,2023-08-08,London,Tablet,Utility,Credit,0,0,8,382.02,-854.82,0
1532,TXN5456BAEC76,USR519813,"€2,542.14",Credit,07:06:56,2025-02-19,London,Mobile,Retail,Prepaid,0,0,8,7898.73,10440.87,0
1533,TXN262E5B88DD,USR949694,"€5,719.21",Credit,01:07:11,2023-03-30,Lagos,Unknown,Luxury,Prepaid,1,1,5,8658.52,14377.73,1
1534,TXN863EE5AB7E,USR542932,"$6,722.89",Debit,10:08:05,2024-01-06,New York,Unknown,Luxury,Debit,0,0,7,7839.6,1116.71,1
1535,TXN5ABC944413,USR830844,"€4,27,900.14",Debit,00:06:07,2025-01-08,Tokyo,Tablet,Utility,Debit,0,0,5,5497.1,-422403.04,1
1536,TXN4D5B39AC3D,USR783212,"₹3,497.05",Credit,05:03:28,2024-01-03,Lagos,Unknown,Utility,Credit,0,0,7,148.01,3645.06,1
1537,TXN9694AE7FFF,USR821141,"₹2,49,220.37",Credit,11:11:20,2025-01-06,London,Mobile,Travel,Prepaid,0,0,10,937.02,250157.39,1
1538,TXNC1EAF0C7D5,USR130871,"₹5,531.99",Debit,11:23:34,2023-02-04,New York,Desktop,Retail,Debit,0,0,8,4831.78,-700.21,0
1539,TXN8C2F2B26F2,USR283609,"₹9,259.43",Debit,19:30:27,2023-04-22,Dubai,Desktop,Food,Credit,0,0,6,6157.45,-3101.98,0
